,Var,bin,bin_range,bin_num,bin_good_num,bin_bad_num,bin_rate,good_bin_rate,bad_bin_rate,bin_rate_cum,good_bin_rate_cum,bad_bin_rate_cum,good_rate,bad_rate,woe,iv
0,open_acc,0,"[0.999, 8.0]",9559,7197,2362,0.30718555177067935,0.3078140370386211,0.3052862866744216,0.30718555177067935,0.3078140370386211,0.3052862866744216,0.7529030233288001,0.24709697667119992,-0.008245843588912715,2.084343413500622e-05
1,open_acc,1,"[8.0, 72.07199999999999]",21559,16184,5375,0.6928144482293207,0.6921859629613789,0.6947137133255784,1.0,1.0,1.0,0.7506841690245373,0.24931583097546267,0.0036451853098660937,9.214118494588682e-06
2,dti,0,"[-0.001, 8.59]",4109,3362,747,0.1320457612957131,0.14379196783713272,0.09654905001938736,0.1320457612957131,0.14379196783713272,0.09654905001938736,0.818203942565101,0.181796057434899,-0.39831641767415965,0.018817629785639056
3,dti,1,"[8.59, 16.34]",9670,7657,2013,0.3107526190629218,0.32748813138873445,0.26017836370686315,0.4427983803586349,0.47128009922586717,0.3567274137262505,0.7918304033092037,0.20816959669079627,-0.2300844043117479,0.0154869278014455
4,dti,2,"[16.34, 22.88]",8344,6240,2104,0.26814062600424193,0.2668833668363201,0.27194002843479387,0.7109390063628769,0.7381634660621872,0.6286674421610443,0.74784276126558,0.2521572387344199,0.01876982365571119,9.491264648995969e-05
5,dti,3,"[22.88, 27.52]",4440,3135,1305,0.14268269168969727,0.13408322997305505,0.16867002714230322,0.8536216980525742,0.8722466960352422,0.7973374693033475,0.706081081081081,0.2939189189189189,0.22948357785135665,0.007937101960818245
6,dti,4,"[27.52, 999.9989999999999]",4546,2981,1565,0.14608908027508194,0.1274966853427997,0.20227478350781958,0.9997107783276561,0.9997433813780419,0.9996122528111671,0.6557413110426749,0.34425868895732514,0.4615367204577662,0.03451283818915218
7,dti,-9999,[-9999],9,6,3,0.000289221672343981,0.0002566186219580001,0.00038774718883288094,1.0,0.9999999999999999,0.9999999999999999,0.6666666666666666,0.3333333333333333,0.41276253060163864,5.412495909744203e-05
8,open_act_il,0,"[-0.001, 7.0]",29180,21898,7282,0.9377209332219294,0.9365724306060477,0.9411916763603464,0.9377209332219294,0.9365724306060477,0.9411916763603464,0.7504455106237149,0.24955448937628513,0.0049199524635924596,2.2726469528801038e-05
9,open_act_il,1,"[7.0, 57.056999999999995]",1938,1483,455,0.06227906677807057,0.06342756939395236,0.05880832363965361,1.0,1.0,1.0,0.7652218782249742,0.2347781217750258,-0.07561521202539785,0.00034928524710871876
10,num_il_tl,0,"[-0.001, 1.0]",2323,1612,711,0.07465132720611864,0.06894486976604935,0.09189608375339278,0.07465132720611864,0.06894486976604935,0.09189608375339278,0.6939302625914765,0.30606973740852345,0.28735121789825124,0.006595059291506513
11,num_il_tl,1,"[1.0, 3.0]",4784,3481,1303,0.15373738672151166,0.14888157050596637,0.16841152901641462,0.2283887139276303,0.21782644027201573,0.2603076127698074,0.727633779264214,0.272366220735786,0.12325940047499015,0.0024072509772992833
12,num_il_tl,2,"[3.0, 15.0]",19449,14777,4672,0.6250080339353429,0.6320088961122279,0.60385162207574,0.8533967478629731,0.8498353363842436,0.8641592348455474,0.7597819939328501,0.24021800606715,-0.045574961233986966,0.0012832666726676854
13,num_il_tl,3,"[15.0, 88.088]",4562,3511,1051,0.1466032521370268,0.1501646636157564,0.13584076515445262,1.0,1.0,1.0,0.7696185883384481,0.23038141166155196,-0.10024909412989726,0.0014359578451543327
14,acc_open_past_24mths,0,"[-0.001, 3.0]",11041,8490,2551,0.3548107204833216,0.3631153500705701,0.3297143595708931,0.3548107204833216,0.3631153500705701,0.3297143595708931,0.768952087673218,0.23104791232678198,-0.09649385000199755,0.0032229901671939763
15,acc_open_past_24mths,1,"[3.0, 7.0]",13744,10306,3438,0.4416736294106305,0.4407852529831915,0.4443582784024816,0.796484349893952,0.8039006030537617,0.7740726379733747,0.7498544819557625,0.25014551804423746,0.008073368216208942,2.8846349855803404e-05
16,acc_open_past_24mths,2,"[7.0, 46.04599999999999]",6333,4585,1748,0.20351565010604794,0.1960993969462384,0.2259273620266253,1.0,1.0,1.0,0.7239854729196273,0.27601452708037266,0.14159188268649947,0.004223397732439145
17,max_bal_bc,0,"[-0.001, 9342.0]",26016,19494,6522,0.8360434475223344,0.8337539027415423,0.8429623885226832,0.8360434475223344,0.8337539027415423,0.8429623885226832,0.7493081180811808,0.2506918819188192,0.010984062613693155,0.00010114658439735558
18,max_bal_bc,1,"[9342.0, 301511.20999999996]",5102,3887,1215,0.16395655247766566,0.1662460972584577,0.1570376114773168,1.0,1.0,1.0,0.761858094864759,0.23814190513524108,-0.056983863915990224,0.000524735100624865
19,open_acc_6m,0,"[-0.001, 1.0]",22595,17178,5417,0.7261070762902501,0.7346991146657542,0.7001421739692387,0.7261070762902501,0.7346991146657542,0.7001421739692387,0.7602566939588404,0.23974330604115954,-0.04817762750668716,0.0016648714166474018
20,open_acc_6m,1,"[1.0, 14.014]",8523,6203,2320,0.27389292370975,0.26530088533424573,0.2998578260307613,1.0,1.0,1.0,0.7277953772145958,0.2722046227854042,0.12244385084882221,0.004231284892435744
