Var,bin,bin_range,bin_num,bin_good_num,bin_bad_num,bin_rate,good_bin_rate,bad_bin_rate,bin_rate_cum,good_bin_rate_cum,bad_bin_rate_cum,good_rate,bad_rate,woe,iv
emp_length,5,['unknown'],2202,1421,781,0.070762903,0.060775844,0.100943518,1,1,1,0.645322434,0.354677566,0.507368733,0.020379822
annual_inc,0,"[-inf, 34980.0]",2604,1754,850,0.083681471,0.075018177,0.109861704,0.083681471,0.075018177,0.109861704,0.673579109,0.326420891,0.381491888,0.013292523
annual_inc,1,"[34980.0, 59858.0]",9026,6615,2411,0.290057202,0.282922031,0.311619491,0.373738672,0.357940208,0.421481194,0.732882783,0.267117217,0.096611513,0.002772505
annual_inc,2,"[59858.0, inf]",19488,15012,4476,0.626261328,0.642059792,0.578518806,1,1,1,0.770320197,0.229679803,-0.10421038,0.00662163
verification_status,0,['Not Verified'],8909,7334,1575,0.28629732,0.313673496,0.203567274,0.28629732,0.313673496,0.203567274,0.823212482,0.176787518,-0.432356086,0.047605095
verification_status,1,['Source Verified'],12837,9715,3122,0.412526512,0.415508319,0.403515575,0.698823832,0.729181814,0.607082849,0.756796759,0.243203241,-0.02928755,0.000351238
verification_status,2,['Verified'],9372,6332,3040,0.301176168,0.270818186,0.392917151,1,1,1,0.675629535,0.324370465,0.372151085,0.045439262
purpose,0,"['car', 'home_improvement', 'credit_card', 'major_purchase']",9624,7539,2085,0.309274375,0.322441298,0.269484296,0.309274375,0.322441298,0.269484296,0.783354115,0.216645885,-0.179410981,0.009501068
purpose,1,"['house', 'moving', 'vacation', 'other', 'renewable_energy', 'debt_consolidation', 'medical', 'small_business']",21494,15842,5652,0.690725625,0.677558702,0.730515704,1,1,1,0.737042896,0.262957104,0.075254535,0.003985255
title,0,"['Car financing', 'Home improvement', 'Credit card refinancing', 'Major purchase']",9627,7542,2085,0.309370782,0.322569608,0.269484296,0.309370782,0.322569608,0.269484296,0.783421627,0.216578373,-0.179808832,0.009545208
title,1,"['Home buying', 'Moving and relocation', 'Vacation', 'Other', 'Green loan', 'Debt consolidation', 'Medical expenses', 'Business']",21491,15839,5652,0.690629218,0.677430392,0.730515704,1,1,1,0.737006189,0.262993811,0.075443923,0.004004964
zip_code,0,"['999xx', '567xx', '788xx', '561xx', '798xx', '214xx', '556xx', '102xx', '545xx', '094xx', '222xx', '772xx', '228xx', '477xx', '084xx', '820xx', '646xx', '828xx', '830xx', '831xx', '845xx', '464xx', '449xx', '499xx', '258xx', '573xx', '753xx', '157xx', '639xx', '661xx', '168xx', '623xx', '667xx', '671xx', '673xx', '675xx', '677xx', '580xx', '679xx', '719xx', '188xx', '596xx', '595xx', '590xx', '738xx', '584xx', '745xx', '583xx', '749xx', '602xx', '262xx', '822xx', '050xx', '942xx', '289xx', '943xx', '389xx', '962xx', '043xx', '387xx', '026xx', '046xx', '897xx', '406xx', '409xx', '052xx', '053xx', '411xx', '312xx', '893xx', '425xx', '879xx', '316xx', '313xx', '991xx', '311xx', '022xx', '414xx', '056xx', '975xx', '912xx', '971xx', '306xx', '666xx', '308xx', '147xx', '493xx', '784xx', '714xx', '466xx', '129xx', '044xx', '837xx', '558xx', '622xx', '843xx', '804xx', '178xx', '421xx', '549xx', '607xx', '371xx', '989xx', '759xx', '548xx', '587xx', '627xx', '290xx', '968xx', '137xx', '615xx', '603xx', '161xx', '049xx', '374xx', '870xx', '231xx', '200xx', '372xx', '559xx', '974xx', '366xx', '270xx', '836xx', '291xx', '443xx', '164xx', '993xx', '656xx', '457xx', '883xx', '135xx', '990xx', '476xx', '832xx', '042xx', '566xx', '139xx', '284xx', '292xx', '325xx', '810xx', '806xx', '816xx', '156xx', '537xx', '040xx', '124xx', '986xx', '294xx', '131xx', '980xx', '747xx', '215xx', '133xx', '134xx', '803xx', '227xx', '811xx', '813xx', '653xx', '779xx', '437xx', '619xx', '863xx', '668xx', '033xx', '363xx', '645xx', '293xx', '028xx', '431xx', '444xx', '983xx', '245xx', '720xx', '796xx', '794xx', '652xx', '626xx', '153xx', '038xx', '801xx', '277xx', '721xx', '701xx', '071xx', '209xx', '852xx', '025xx', '847xx', '689xx', '572xx', '152xx', '620xx', '172xx', '058xx', '054xx', '048xx', '179xx', '609xx', '401xx', '758xx', '195xx', '725xx', '013xx', '547xx', '101xx', '327xx', '068xx', '780xx', '310xx', '379xx', '069xx', '030xx', '907xx', '282xx', '326xx', '474xx', '662xx', '336xx', '608xx', '288xx', '224xx', '625xx', '880xx', '300xx', '173xx', '302xx', '190xx', '776xx', '392xx', '977xx', '570xx', '617xx', '301xx', '174xx', '931xx', '875xx', '805xx', '146xx', '272xx', '352xx', '610xx', '857xx', '347xx', '296xx', '894xx', '981xx', '535xx', '402xx', '809xx', '762xx', '922xx', '534xx', '724xx', '365xx', '538xx', '996xx', '397xx', '814xx', '978xx', '497xx', '613xx', '648xx', '844xx', '455xx', '433xx', '394xx', '427xx', '426xx', '423xx', '407xx', '812xx', '835xx', '479xx', '281xx', '160xx', '184xx', '081xx', '243xx', '060xx', '175xx', '041xx', '011xx', '167xx', '029xx', '064xx', '370xx', '201xx', '802xx', '349xx', '840xx', '532xx', '959xx', '850xx', '337xx', '297xx', '601xx', '339xx', '970xx', '360xx', '934xx', '456xx', '338xx', '115xx', '067xx', '451xx', '240xx', '972xx', '465xx', '841xx', '186xx', '557xx', '062xx', '356xx', '354xx', '903xx', '473xx', '633xx', '116xx', '034xx', '383xx', '180xx', '756xx', '711xx', '928xx', '027xx', '984xx', '019xx', '063xx', '150xx', '211xx', '442xx', '462xx', '956xx', '787xx', '750xx', '086xx', '826xx', '630xx', '309xx', '644xx', '470xx', '599xx', '765xx', '800xx', '554xx', '077xx', '206xx', '305xx', '531xx', '223xx', '017xx', '920xx', '333xx', '303xx', '706xx', '032xx', '388xx', '950xx', '982xx', '530xx', '440xx', '665xx', '404xx', '279xx', '949xx', '961xx', '187xx', '154xx', '786xx', '925xx', '782xx', '435xx', '072xx', '495xx', '967xx', '927xx', '342xx', '926xx', '478xx', '988xx', '808xx', '612xx', '182xx']",12874,10485,2389,0.413715534,0.448441042,0.308776011,0.413715534,0.448441042,0.308776011,0.814432189,0.185567811,-0.373161085,0.052117554
zip_code,1,"['957xx', '329xx', '890xx', '953xx', '917xx', '550xx', '191xx', '985xx', '856xx', '278xx', '386xx', '954xx', '232xx', '560xx', '458xx', '941xx', '463xx', '951xx', '483xx', '960xx', '107xx', '923xx', '286xx', '781xx', '604xx', '320xx', '484xx', '452xx', '142xx', '973xx', '799xx', '018xx', '678xx', '878xx', '225xx', '670xx', '906xx', '860xx', '593xx', '592xx', '864xx', '634xx', '577xx', '564xx', '585xx', '039xx', '159xx', '582xx', '935xx', '874xx', '628xx', '280xx', '718xx', '275xx', '717xx', '450xx', '422xx', '413xx', '287xx', '108xx', '132xx', '795xx', '381xx', '085xx', '304xx', '494xx', '789xx', '681xx', '846xx', '958xx', '021xx', '945xx', '322xx', '853xx', '344xx', '088xx', '446xx', '430xx', '119xx', '480xx', '226xx', '553xx', '486xx', '073xx', '704xx', '400xx', '229xx', '944xx', '112xx', '774xx', '020xx', '791xx', '197xx', '618xx', '307xx', '273xx', '895xx', '995xx', '705xx', '100xx', '940xx', '314xx', '299xx', '919xx', '539xx', '236xx', '716xx', '481xx', '605xx', '936xx', '453xx', '105xx', '216xx', '441xx', '117xx', '727xx', '660xx', '946xx', '080xx', '606xx', '103xx', '114xx', '902xx', '498xx', '196xx', '403xx', '194xx', '317xx', '761xx', '385xx', '598xx', '368xx', '833xx', '113xx', '600xx', '331xx', '120xx', '751xx', '851xx', '871xx', '210xx', '905xx', '838xx', '075xx', '471xx', '460xx', '597xx', '790xx', '760xx', '932xx', '952xx', '234xx', '432xx', '193xx', '330xx', '933xx', '908xx', '162xx', '328xx', '777xx', '472xx', '335xx', '637xx', '445xx', '723xx', '638xx', '728xx', '551xx', '563xx', '992xx', '384xx', '382xx', '647xx', '748xx', '012xx', '377xx', '057xx', '155xx', '189xx', '123xx', '181xx', '911xx', '070xx', '913xx', '785xx', '104xx', '770xx', '378xx', '078xx', '109xx', '488xx', '121xx', '220xx', '207xx', '023xx', '346xx', '315xx', '380xx', '151xx', '324xx', '891xx', '921xx', '754xx', '235xx', '285xx', '405xx', '752xx', '015xx', '700xx', '641xx', '076xx', '616xx', '434xx', '111xx', '829xx', '924xx', '176xx', '650xx', '947xx', '454xx', '199xx', '276xx', '359xx']",13476,9865,3611,0.433061251,0.421923784,0.466718366,0.846776785,0.870364826,0.775494378,0.732042149,0.267957851,0.100901314,0.004519832
